# Gene Family	C1_Abundance-RPKs
K01424|unclassified	13.671
K01425	19.79
K01425|g__Fusobacterium.s__Fusobacterium_nucleatum	13.465
K01425|unclassified	6.325
K01436	20.93
K01436|g__Fusobacterium.s__Fusobacterium_nucleatum	20.93
K01439	15.06
K01439|g__Fusobacterium.s__Fusobacterium_nucleatum	15.06
K01443	7.514
K01443|g__Fusobacterium.s__Fusobacterium_nucleatum	7.514
K01448	19.038
K01448|g__Filifactor.s__Filifactor_alocis	4.409
K01448|g__Fusobacterium.s__Fusobacterium_nucleatum	14.629
K01462	39.988
K01462|g__Filifactor.s__Filifactor_alocis	2.907
K01462|g__Fusobacterium.s__Fusobacterium_nucleatum	32.936
K01462|g__Prevotella.s__Prevotella_nigrescens	4.145
K01465	20.415
K01465|g__Filifactor.s__Filifactor_alocis	0.943
K01465|g__Fusobacterium.s__Fusobacterium_nucleatum	19.473
K01468	32.69
K01468|g__Fusobacterium.s__Fusobacterium_nucleatum	29.196
K01468|g__Prevotella.s__Prevotella_nigrescens	3.493
K01479	9.586
K01479|g__Fusobacterium.s__Fusobacterium_nucleatum	9.586
K01489	5.001
K01489|g__Prevotella.s__Prevotella_nigrescens	5.001
K01491	10.631
K01491|g__Fusobacterium.s__Fusobacterium_nucleatum	10.631
K01493	20.448
K01493|g__Fusobacterium.s__Fusobacterium_nucleatum	20.448
K01494	4.458
K01494|g__Campylobacter.s__Campylobacter_showae	2.169
K01494|g__Filifactor.s__Filifactor_alocis	2.288
K01495	4.049
K01495|g__Prevotella.s__Prevotella_nigrescens	4.049
K01515	4.515
K01515|g__Filifactor.s__Filifactor_alocis	4.515
K01520	23.46
K01520|g__Fusobacterium.s__Fusobacterium_nucleatum	23.46
K01524	27.305
K01524|g__Filifactor.s__Filifactor_alocis	3.134
K01524|g__Fusobacterium.s__Fusobacterium_nucleatum	14.762
K01524|unclassified	9.409
K01534	13.093
K01534|g__Filifactor.s__Filifactor_alocis	2.296
K01534|g__Fusobacterium.s__Fusobacterium_nucleatum	10.797
K01537	14.806
K01537|g__Filifactor.s__Filifactor_alocis	0.765
K01537|g__Fusobacterium.s__Fusobacterium_nucleatum	14.041
K01572	3.857
K01572|g__Filifactor.s__Filifactor_alocis	3.857
K01580	3.125
K01580|g__Fusobacterium.s__Fusobacterium_nucleatum	3.125
K01585	8.1
K01585|unclassified	8.1
K01586	8.596
K01586|unclassified	8.596
K01591	13.441
K01591|g__Filifactor.s__Filifactor_alocis	5.298
K01591|g__Fusobacterium.s__Fusobacterium_nucleatum	8.143
K01610	23.109
K01610|g__Fusobacterium.s__Fusobacterium_nucleatum	12.78
K01610|unclassified	10.329
K01613	9.073
K01613|g__Filifactor.s__Filifactor_alocis	3.927
K01613|g__Fusobacterium.s__Fusobacterium_nucleatum	2.491
K01613|unclassified	2.655
K01615	13.895
K01615|g__Filifactor.s__Filifactor_alocis	1.206
K01615|g__Fusobacterium.s__Fusobacterium_nucleatum	12.689
K01619	3.693
K01619|g__Prevotella.s__Prevotella_nigrescens	3.693
K01620	6.501
K01620|g__Fusobacterium.s__Fusobacterium_nucleatum	6.501
K01623	17.765
K01623|g__Filifactor.s__Filifactor_alocis	8.883
K01623|g__Fusobacterium.s__Fusobacterium_nucleatum	8.882
K01624	7.537
K01624|g__Eikenella.s__Eikenella_corrodens	2.066
K01624|g__Prevotella.s__Prevotella_nigrescens	5.47
K01627	18.075
K01627|g__Fusobacterium.s__Fusobacterium_nucleatum	18.075
K01628	5.184
K01628|g__Fusobacterium.s__Fusobacterium_nucleatum	5.184
K01643	10.288
K01643|g__Fusobacterium.s__Fusobacterium_nucleatum	10.288
K01646	10.332
K01646|g__Fusobacterium.s__Fusobacterium_nucleatum	10.332
K01647	5.318
K01647|unclassified	5.318
K01662	10.437
K01662|g__Filifactor.s__Filifactor_alocis	0.564
K01662|g__Fusobacterium.s__Fusobacterium_nucleatum	6.078
K01662|g__Prevotella.s__Prevotella_nigrescens	3.795
K01665	11.969
K01665|g__Fusobacterium.s__Fusobacterium_nucleatum	11.969
K01667	10.403
K01667|g__Fusobacterium.s__Fusobacterium_nucleatum	10.403
K01668	21.044
K01668|g__Fusobacterium.s__Fusobacterium_nucleatum	21.044
K01676	1.295
K01676|g__Prevotella.s__Prevotella_nigrescens	1.295
K01678	2.198
K01678|g__Prevotella.s__Prevotella_nigrescens	2.198
K01681	8.264
K01681|unclassified	8.264
K01689	25.149
K01689|g__Fusobacterium.s__Fusobacterium_nucleatum	12.431
K01689|unclassified	12.718
K01696	7.353
K01696|g__Fusobacterium.s__Fusobacterium_nucleatum	7.353
K01697	9.281
K01697|unclassified	9.281
K01698	20.951
K01698|g__Fusobacterium.s__Fusobacterium_nucleatum	11.507
K01698|unclassified	9.444
K01710	20.462
K01710|g__Prevotella.s__Prevotella_nigrescens	3.781
K01710|unclassified	16.681
K01711	2.028
K01711|g__Prevotella.s__Prevotella_nigrescens	2.028
K01714	2.468
K01714|g__Prevotella.s__Prevotella_nigrescens	2.468
K01715	7.386
K01715|g__Fusobacterium.s__Fusobacterium_nucleatum	7.386
K01719	8.39
K01719|unclassified	8.39
K01733	6.253
K01733|g__Filifactor.s__Filifactor_alocis	6.253
K01736	16.427
K01736|g__Fusobacterium.s__Fusobacterium_nucleatum	16.427
K01738	27.709
K01738|g__Filifactor.s__Filifactor_alocis	2.472
K01738|g__Fusobacterium.s__Fusobacterium_nucleatum	25.237
K01740	1.689
K01740|g__Filifactor.s__Filifactor_alocis	1.689
K01744	0.751
K01744|g__Campylobacter.s__Campylobacter_showae	0.751
K01745	21.526
K01745|g__Fusobacterium.s__Fusobacterium_nucleatum	20.072
K01745|g__Prevotella.s__Prevotella_nigrescens	1.453
K01746	16.477
K01746|g__Fusobacterium.s__Fusobacterium_nucleatum	16.477
K01749	22.324
K01749|g__Fusobacterium.s__Fusobacterium_nucleatum	22.324
K01752	15.01
K01752|g__Filifactor.s__Filifactor_alocis	2.587
K01752|g__Fusobacterium.s__Fusobacterium_nucleatum	12.422
K01753	4.894
K01753|g__Fusobacterium.s__Fusobacterium_nucleatum	4.894
K01756	18.741
K01756|g__Fusobacterium.s__Fusobacterium_nucleatum	18.741
K01761	1.813
K01761|g__Filifactor.s__Filifactor_alocis	1.813
K01770	13.059
K01770|g__Fusobacterium.s__Fusobacterium_nucleatum	7.754
