Genus	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
Leishmania	16	18	11	27	28	20	7	2	54	35	17	18	23	16	33	18	16
Rhodocaloribacter	49	37	18	1	11	6	29	47	82	49	0	9	2	2	2	8	7
Halorubrum	37	53	12	2	9	13	31	13	45	76	12	10	13	0	20	7	4
Rhizorhabdus	19	30	18	46	27	28	28	22	19	65	0	8	13	0	4	8	22
Sphingosinithalassobacter	43	11	6	3	7	1	7	65	12	172	0	1	18	0	2	5	4
Zhouia	11	30	9	40	69	56	0	5	29	1	0	14	29	10	30	21	2
Kovacikia	0	11	19	19	2	26	2	0	1	10	21	40	45	0	14	138	7
Azorhizobium	15	15	16	11	6	33	31	9	20	62	54	7	7	0	2	2	64
Brenneria	14	31	50	23	39	22	21	15	16	46	2	1	15	0	19	7	33
Jeongeupia	26	25	16	35	15	14	6	51	26	84	3	2	20	1	22	6	2
Piscinibacter	17	29	4	16	11	26	14	42	14	59	0	15	69	0	8	4	26
Dermatobacter	57	46	4	20	19	7	10	37	84	50	2	1	1	0	1	5	7
Alkalicella	16	45	14	25	40	25	59	39	1	30	2	7	9	1	9	21	7
Capillimicrobium	18	27	17	6	10	23	16	11	108	23	18	24	28	1	5	8	7
Sulfuriferula	35	55	22	22	4	17	5	33	51	34	1	3	16	1	2	7	42
Sulfuricaulis	22	30	5	23	24	26	23	62	18	66	0	0	22	0	0	0	27
Leadbettera	11	17	19	23	4	32	3	5	79	30	2	1	7	0	6	10	97
Methanomassiliicoccus	6	46	0	18	0	42	2	0	6	0	0	18	8	38	6	12	144
Thermothelomyces	16	30	44	72	25	69	0	9	7	11	5	6	20	15	7	3	7
Phaeobacter	26	32	27	1	7	23	15	21	32	48	11	14	13	3	15	37	19
Polycladomyces	11	16	37	32	34	7	3	15	67	88	4	5	7	1	8	4	5
Acidihalobacter	21	18	11	14	18	21	17	17	18	16	18	10	18	4	31	19	72
Persicimonas	45	26	6	4	5	3	28	19	7	103	21	7	6	0	35	16	10
Salimicrobium	26	11	6	11	22	22	8	14	10	37	34	8	34	18	36	35	9
Sulfuricystis	33	28	3	37	6	14	24	37	31	67	3	11	14	0	5	9	19
Photorhabdus	16	59	25	15	15	59	19	6	37	19	1	12	24	18	4	6	5
Mycetocola	41	12	16	16	9	23	14	7	11	56	21	22	8	2	6	57	18
Desemzia	10	10	10	9	38	32	7	6	30	16	2	34	57	49	5	9	14
Meiothermus	101	31	4	8	8	7	19	22	10	46	0	5	4	1	17	43	12
Desulfoglaeba	24	24	13	13	13	10	10	50	52	40	3	24	22	0	7	20	12
Herbiconiux	102	23	11	4	7	5	9	18	26	68	14	4	10	3	12	7	14
Persicobacter	36	25	5	122	27	17	11	15	29	4	7	9	8	1	0	16	5
Caldilinea	8	14	45	25	50	26	15	39	13	20	6	7	15	1	2	36	14
Candidatus_Symbiobacter	12	12	8	26	14	80	4	0	20	76	0	56	20	0	0	4	4
Methanolobus	1	6	42	65	31	82	1	2	2	3	0	11	31	4	11	32	12
Aceticella	11	22	22	10	10	20	53	24	1	19	14	13	17	18	7	7	66
Radiobacillus	9	14	8	14	49	53	51	4	0	7	3	10	38	0	12	52	10
Bradymonas	14	24	11	3	16	12	3	6	83	51	0	6	5	0	3	6	90
Neurospora	5	68	26	8	26	12	0	3	19	7	7	48	24	1	18	48	13
Nitrogeniibacter	21	30	7	37	12	31	2	16	54	38	2	7	17	28	17	7	7
Niveispirillum	41	34	12	8	26	15	6	4	10	103	7	23	5	8	4	1	26
Prescottella	8	37	5	7	5	11	21	34	10	104	6	19	24	0	8	13	21
Rhodoplanes	40	13	5	4	31	11	4	51	40	68	20	9	5	1	10	1	20
Thermosipho	22	17	19	20	25	23	76	23	3	5	1	41	33	0	19	4	2
Melaminivora	26	37	5	4	61	16	8	33	45	72	0	2	6	0	4	2	11
Propionimicrobium	38	15	22	8	9	9	10	17	48	41	9	35	21	3	4	10	33
Pseudobacter	16	15	9	14	90	21	1	7	20	0	30	6	24	52	6	6	15
Stigmatella	19	16	17	16	36	10	17	29	49	64	2	5	10	0	17	11	13
Aquabacterium	28	41	7	24	16	14	14	9	39	80	10	3	20	0	7	11	6
Ketogulonicigenium	26	12	1	2	13	21	25	29	47	45	21	8	22	1	14	24	18
Paeniglutamicibacter	6	18	23	27	24	73	44	15	9	12	12	11	12	2	19	10	12
Sulfuritortus	107	46	12	11	27	10	2	18	13	44	0	12	9	0	4	4	10
Ferroplasma	0	34	8	6	13	15	0	0	0	0	58	12	50	46	2	84	0
Gephyromycinifex	18	9	10	14	9	16	3	12	16	28	56	11	15	5	12	67	27
Gulosibacter	32	26	9	4	18	7	19	18	52	53	10	12	18	2	8	3	37
Neokomagataea	104	14	36	8	17	13	26	54	14	2	0	0	0	0	0	1	39
Parasphingorhabdus	37	43	43	22	13	11	8	7	51	21	34	6	0	1	8	3	20
Aromatoleum	15	26	16	31	18	14	13	18	41	53	3	7	18	0	9	16	28
Dolosigranulum	4	13	14	21	28	41	0	0	1	0	15	29	79	5	36	18	22
Halobacteriovorax	11	26	11	9	41	26	20	25	1	2	15	47	61	6	15	10	0
Methyloceanibacter	3	16	21	26	10	31	6	8	17	16	14	16	46	0	2	82	12
Aeribacillus	7	27	10	15	119	12	0	4	14	0	0	5	105	0	5	0	2
Alicycliphilus	8	68	6	12	19	17	32	4	18	49	5	14	21	3	11	12	25
Kytococcus	42	18	12	14	12	18	8	13	17	13	50	18	11	2	5	8	63
Sediminispirochaeta	5	24	7	6	11	18	7	1	38	32	19	26	25	26	26	38	15
Thiodictyon	32	24	13	12	9	19	9	23	23	19	10	24	18	0	18	52	18
Thermoflexus	56	13	6	7	2	3	60	51	25	67	0	1	4	0	3	1	23
Tellurirhabdus	23	24	11	13	25	25	22	35	89	9	3	3	15	0	9	6	9
Anaerolinea	6	15	10	14	12	11	37	44	74	10	0	9	17	1	12	13	35
Blohavirus	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	317	0
Lentzea	6	23	10	17	25	8	13	20	53	59	0	26	24	3	9	9	14
Actinobaculum	15	9	13	42	22	5	2	2	5	11	10	7	12	2	5	8	148
Bombilactobacillus	4	27	22	5	40	25	0	8	8	4	40	20	55	3	24	19	14
Octadecabacter	8	20	13	19	30	30	9	75	26	14	6	8	14	2	26	5	13
Methylomagnum	12	23	6	16	11	11	7	14	54	35	1	6	19	0	6	7	89
Pseudosulfitobacter	11	21	5	19	54	26	5	14	22	67	1	31	11	0	9	5	16
Kordiimonas	5	17	9	21	36	8	1	5	6	2	28	35	90	2	19	19	13
Pectinatus	5	55	4	20	14	34	0	5	0	4	24	10	50	30	21	18	21
Caldalkalibacillus	4	46	14	6	6	15	1	10	12	65	9	15	39	19	20	14	19
Halobaculum	23	41	12	10	4	17	25	29	23	25	7	6	31	3	28	15	15
Kushneria	38	46	5	13	17	18	3	33	17	70	1	2	14	0	10	12	15
Metamycoplasma	6	27	24	11	38	39	27	15	13	0	3	12	43	2	26	18	10
Reichenbachiella	1	27	19	135	34	2	5	6	3	2	7	30	12	2	12	7	10
Frondihabitans	55	15	8	16	5	17	24	10	29	52	8	22	1	2	27	6	16
Peterkaempfera	23	14	3	0	3	6	4	51	69	32	27	2	4	1	67	3	4
Thermotoga	19	20	38	29	26	58	5	15	1	6	28	18	5	7	17	19	1
Acetohalobium	7	37	11	16	21	43	0	7	1	3	52	44	22	1	20	13	13
Pseudofrankia	30	21	11	13	3	14	36	14	82	6	3	6	22	3	4	19	24
Acidocella	36	12	8	8	12	9	10	33	47	62	0	12	13	0	22	14	12
Yinghuangia	81	4	10	2	5	7	8	4	46	119	1	4	12	0	2	3	2
Cryptococcus	3	10	22	101	8	16	5	2	2	0	55	7	19	24	26	4	5
Ectothiorhodospira	16	26	15	29	3	15	9	38	7	17	19	16	44	0	16	37	2
Methylosinus	48	15	14	16	17	20	32	3	13	18	10	23	17	20	9	22	12
Parachlamydia	36	11	5	31	12	6	0	8	23	9	100	0	13	1	8	9	36
Azotobacter	20	21	16	9	43	15	23	15	53	24	7	3	6	1	3	9	39
Rugamonas	22	37	8	13	5	19	5	16	52	66	5	3	15	0	8	6	25
Roseivivax	39	43	4	5	1	20	36	20	49	67	0	0	5	1	3	1	10
Salinispira	15	12	9	19	15	11	8	5	21	31	0	12	35	12	48	33	18
Alkalitalea	19	16	34	11	63	64	1	22	40	2	1	0	7	5	4	5	9
Melissococcus	12	15	26	14	16	17	89	20	0	0	6	6	32	1	32	13	4
Actinomarinicola	180	6	1	0	0	5	47	7	18	6	0	0	7	1	2	0	22
Halobacterium	71	24	12	12	2	14	39	41	34	23	3	10	1	0	0	7	9
Lignipirellula	34	6	8	6	2	13	45	17	5	17	41	0	2	1	15	53	37
Hoeflea	39	12	7	16	11	41	8	17	35	31	6	3	15	2	11	11	36
Mycolicibacillus	26	14	10	19	5	6	14	9	4	134	6	3	13	2	13	8	15
Cloacibacterium	14	15	13	53	26	16	82	14	13	1	6	0	26	2	6	1	12
Evansella	10	15	7	31	27	23	3	6	10	3	3	23	48	2	10	28	51
Rhodophyticola	75	8	2	1	3	4	22	48	16	87	4	8	4	0	4	9	5
Methylomicrobium	9	27	6	15	13	10	9	9	11	77	53	8	8	5	15	2	22
Subtercola	25	26	1	8	8	20	34	19	35	23	42	4	14	0	13	12	15
Orrella	5	24	24	17	17	9	25	22	45	8	9	3	15	0	36	9	30
Tichowtungia	12	18	0	3	12	29	7	21	49	48	0	4	11	0	5	21	58
Yimella	23	18	5	18	19	1	11	39	11	103	1	32	10	5	1	0	1
Brochothrix	16	20	39	47	37	0	9	6	0	1	3	22	17	31	44	4	1
Colwellia	6	32	16	9	57	25	12	1	0	7	8	17	32	6	21	6	42
Sedimentisphaera	24	18	8	10	15	10	3	16	62	7	1	4	18	24	0	3	74
Candidatus_Bipolaricaulis	42	42	8	16	2	30	18	6	10	34	0	0	6	0	72	0	10
Emticicia	9	28	42	15	24	26	43	34	7	0	1	2	38	6	14	7	0
Methylophaga	9	11	11	112	19	41	1	17	1	9	1	17	24	0	11	6	6
Tepidimonas	20	8	28	28	32	21	6	8	45	31	13	21	11	0	8	2	14
Geitlerinema	21	13	10	9	10	14	5	28	71	17	13	22	20	0	3	32	7
Candidatus_Contubernalis	22	26	30	8	26	8	8	8	22	14	0	64	6	2	22	6	22
Floricoccus	1	36	8	6	8	18	0	0	0	2	73	17	27	66	22	7	3
Avibacterium	17	11	3	3	4	24	2	20	17	2	15	37	31	28	15	16	48
Gluconacetobacter	24	21	17	11	13	9	10	17	55	5	0	11	12	4	12	16	56
Actinokineospora	103	13	12	2	1	8	13	10	28	49	4	0	15	0	4	15	15
Endomicrobium	12	32	11	8	28	24	2	9	32	59	5	9	12	9	27	2	11
Rhizobacter	18	34	11	25	15	23	18	29	25	50	4	5	6	0	1	6	21
Jeotgalicoccus	23	32	21	12	51	10	5	22	10	9	2	22	30	10	9	2	20
Caminibacter	7	23	6	33	13	14	3	1	0	1	88	63	25	2	2	7	1
Fischerella	18	23	25	19	10	50	1	0	14	4	4	9	17	66	19	9	1
Gemmatimonas	33	36	14	7	20	18	16	38	49	18	6	3	7	3	1	2	18
Melittangium	13	9	8	30	3	3	6	13	13	156	2	2	4	0	4	2	21
Lutimonas	13	20	2	56	15	5	0	1	0	1	34	14	6	2	26	93	0
Paroceanicella	13	47	10	17	10	34	21	19	28	7	0	44	11	0	0	14	12
Sporolactobacillus	6	15	22	10	18	28	2	8	5	4	22	11	28	5	44	15	42
Acidobacterium	35	11	4	3	7	7	7	17	82	10	8	9	6	1	7	3	66
Rickettsia	21	23	13	10	17	15	15	16	26	28	10	4	19	3	15	12	36
Scheffersomyces	0	6	12	187	17	38	0	0	0	0	6	0	2	5	6	4	0
Candidatus_Endoriftia	8	70	6	20	26	12	2	14	16	30	2	26	8	0	2	22	18
Chitinimonas	15	27	3	12	13	24	11	4	40	69	4	14	15	0	10	3	18
Gudongella	67	31	27	2	11	12	1	35	10	3	33	12	25	0	0	2	11
Mumia	106	5	2	0	8	8	25	26	14	30	1	6	36	0	2	4	9
Tistrella	27	25	6	6	3	3	17	24	57	49	1	2	4	1	9	13	35
Geminocystis	54	37	4	21	39	10	19	8	1	3	3	21	11	0	39	0	11
Turneriella	11	8	12	131	3	10	10	6	21	1	8	10	16	17	0	3	14
Mariniplasma	1	31	12	11	13	17	10	23	7	0	14	13	92	10	17	7	2
Pirellula	2	14	24	6	25	5	3	16	4	75	71	11	12	0	2	5	5
Sulfurivermis	37	29	7	12	14	21	20	10	10	19	58	10	6	2	16	1	8
Candidatus_Neoehrlichia	2	106	14	48	24	8	0	0	0	0	4	8	12	4	18	24	6
Pseudoleptotrichia	1	15	27	26	4	22	75	13	0	4	2	5	13	0	62	2	7
Thermodesulfomicrobium	23	57	4	13	2	9	18	14	65	35	0	0	8	0	7	2	21
Ustilaginoidea	8	1	16	8	0	9	10	1	17	9	3	4	5	0	3	178	6
Aquincola	26	28	8	5	7	18	17	47	12	15	6	25	27	0	6	13	17
Bremerella	6	45	29	15	27	43	5	8	7	26	2	7	7	0	6	4	40
Dermabacter	46	28	5	8	9	11	9	7	71	26	15	3	5	3	21	3	7
Flavihumibacter	58	19	10	4	22	4	5	16	42	1	0	2	10	0	0	2	82
Robiginitalea	13	25	11	7	5	74	38	39	5	37	0	6	3	0	3	5	5
Tropicibacter	6	3	7	15	3	15	3	9	6	9	16	41	28	0	3	98	14
Caenibius	18	2	5	11	7	25	11	25	9	57	12	29	14	0	6	22	22
Aliamphritea	34	36	23	4	48	22	2	11	19	5	11	3	15	8	14	13	6
Desulfatiglans	24	12	7	8	23	11	8	11	26	72	14	8	18	0	8	10	14
Niveibacterium	10	17	10	18	21	36	12	14	34	25	3	8	8	3	18	17	20
Protofrankia	10	17	11	9	25	17	9	9	12	39	3	32	16	3	11	43	8
Vaginimicrobium	16	8	16	33	43	94	0	1	11	6	16	2	3	1	3	4	17
Amphritea	0	22	16	71	19	42	0	1	3	9	4	30	7	6	15	15	13
Ilyobacter	16	40	27	2	23	22	5	8	15	2	74	5	3	1	15	10	5
Halocatena	2	12	21	9	50	28	1	0	3	0	5	15	43	13	26	33	11
Lichenicola	27	34	18	2	4	6	16	38	96	19	1	0	3	0	0	3	5
Oenococcus	11	43	16	15	14	43	1	1	19	15	0	50	9	4	1	2	28
Phototrophicus	4	24	14	32	20	28	4	14	20	16	6	0	18	0	6	50	16
Botrimarina	24	6	12	21	4	16	10	18	28	62	0	16	22	0	11	0	21
Kehishuvirus	0	0	2	0	32	0	0	3	0	0	0	0	234	0	0	0	0
Pseudolabrys	17	12	3	23	5	17	10	13	90	46	3	3	22	0	0	0	7
Skogvirus	36	2	0	0	0	0	13	67	14	137	0	0	0	0	0	0	2
Desulfolithobacter	17	14	0	24	9	10	10	10	43	10	0	30	14	13	11	9	45
Tomitella	46	28	6	4	26	23	26	6	6	71	6	6	4	0	6	2	3
Usitatibacter	6	28	15	24	19	8	8	16	24	61	0	3	8	0	13	6	30
Candidatus_Syntrophocurvum	34	54	8	2	24	22	14	34	10	0	4	0	14	8	14	10	16
Marinicauda	61	5	4	0	0	4	18	92	41	16	0	5	2	0	4	5	11
Egibacter	11	12	9	22	10	6	8	13	58	34	57	4	13	0	5	3	2
Gallaecimonas	27	22	7	14	5	8	27	26	37	39	1	2	18	0	19	13	2
Kineobactrum	20	34	3	10	12	18	10	13	15	35	3	9	26	8	14	27	10
Tahibacter	23	18	6	5	5	2	10	57	2	99	1	3	17	1	11	0	6
Boudabousia	14	25	7	5	10	19	2	3	15	32	13	4	21	21	9	65	0
Changchengzhania	0	12	12	123	30	19	16	8	5	5	0	12	2	0	3	13	5
Eikenella	8	17	5	8	19	38	8	7	17	25	2	82	10	0	4	3	12
Kinneretia	26	25	14	2	13	17	14	18	36	23	11	8	14	0	3	12	29
Tamlana	2	17	20	22	32	46	56	20	4	2	3	2	17	1	6	7	8
Chelatococcus	69	25	16	16	1	10	6	33	28	32	0	1	0	0	4	0	23
Candidatus_Vesicomyosocius	14	18	14	4	34	6	4	4	1	0	4	16	137	0	4	2	1
Couchioplanes	87	18	4	10	7	3	41	14	30	23	3	2	6	1	4	6	4
Kibdelosporangium	19	19	4	46	4	11	16	10	14	18	0	34	27	1	6	15	19
Grimontia	8	12	23	86	35	3	6	14	5	5	2	1	6	0	26	11	19
Scardovia	15	4	25	3	6	13	13	21	1	80	12	4	20	4	17	2	22
Thermobifida	13	20	13	4	7	4	20	31	16	87	2	6	17	0	6	5	11
Aggregatimonas	2	16	6	126	37	4	0	5	2	3	17	5	18	0	15	5	0
Halocella	135	20	17	0	4	12	0	0	0	1	0	11	12	17	24	2	6
Lacipirellula	4	16	4	25	13	23	1	12	98	11	2	6	14	10	6	4	12
Solwaraspora	17	14	6	6	5	17	27	26	17	9	22	16	3	1	11	9	55
Croceibacterium	17	7	15	5	4	5	11	49	27	61	1	7	10	0	7	25	9
Halothiobacillus	13	10	5	31	8	20	14	13	28	28	62	1	0	0	4	0	23
Nosocomiicoccus	1	6	26	20	18	23	0	2	2	1	2	56	21	30	22	21	9
Malassezia	26	7	3	4	14	36	16	3	3	26	5	17	44	5	21	12	17
Marinilongibacter	12	21	7	39	61	36	0	1	54	2	1	0	14	2	1	3	5
Pikeienuella	35	20	5	0	2	13	6	14	47	44	0	0	1	0	0	6	66
Polystyrenella	10	25	2	20	3	15	5	11	2	77	14	3	26	0	6	35	5
Syntrophus	26	37	6	13	5	17	3	19	23	74	1	1	3	0	7	3	21
Tardiphaga	31	5	11	5	5	7	6	38	25	107	9	3	1	0	1	0	5
Arsenicicoccus	21	7	5	8	16	15	6	10	65	11	2	24	2	2	7	6	51
Labilithrix	15	23	8	10	39	0	3	19	46	8	13	7	36	5	10	1	15
Moritella	7	13	30	41	6	22	4	1	11	12	10	5	21	30	22	5	18
Actinoalloteichus	45	17	5	4	7	12	4	36	27	16	24	15	9	1	8	7	20
Candidatus_Reidiella	4	16	16	18	34	22	8	16	24	10	0	8	14	0	22	4	40
Pseudalgibacter	3	15	28	39	61	60	2	0	0	0	2	1	4	0	36	1	4
Roseimicrobium	17	26	7	9	8	20	11	5	80	40	0	5	10	1	2	0	15
Cellulosimicrobium	29	28	4	0	8	7	23	25	16	34	38	1	18	1	6	8	9
Aestuariispira	38	7	7	15	10	11	3	54	9	74	0	3	10	0	0	3	10
Candidatus_Saccharimonas	14	4	2	8	6	24	0	0	48	26	10	4	30	8	64	0	6
Tuwongella	0	10	12	17	0	6	7	2	176	10	0	1	1	0	7	0	5
Wotdevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0
Natranaerofaba	2	25	18	20	26	31	0	4	2	0	22	1	25	3	35	39	0
Brooklawnia	15	22	6	8	8	13	11	15	76	11	7	11	19	0	17	2	11
Thioflavicoccus	20	10	14	0	6	5	34	38	41	51	7	3	0	0	9	5	8
Alkalihalophilus	38	24	2	4	11	4	5	25	0	77	12	4	24	0	4	0	16
Acidiferrobacter	32	15	7	6	2	12	5	43	54	59	0	3	1	0	5	0	5
Solitalea	5	23	36	12	22	25	4	7	20	0	1	39	6	1	20	2	26
Catalinimonas	11	25	11	95	22	4	4	34	10	2	2	1	12	1	3	0	11
Oryzomicrobium	5	15	11	41	15	15	6	11	16	10	4	26	25	0	11	32	5
Aurantimicrobium	41	14	6	46	3	5	3	15	6	47	0	6	6	0	7	1	41
Cyclobacterium	6	25	7	9	31	13	0	4	4	2	8	8	79	15	7	26	3
Halorhodospira	11	21	7	36	18	14	10	13	7	55	35	3	6	2	4	2	3
Pseudovibrio	11	28	10	14	20	21	4	23	43	36	3	6	1	0	8	3	16
Thalassomonas	37	11	13	11	33	15	5	7	16	27	8	7	16	4	14	17	6
Denitratisoma	31	20	10	32	16	22	18	11	18	24	3	6	13	0	3	10	9
Alloalcanivorax	16	14	7	11	17	11	12	10	33	53	8	14	10	2	12	7	8
Arsenophonus	10	19	6	21	12	13	21	23	23	51	0	33	2	0	6	3	2
Bernardetia	10	11	40	12	28	51	1	16	20	9	6	6	5	1	6	4	19
Flavisolibacter	9	57	9	48	25	22	0	5	20	8	0	2	16	5	7	9	3
Alienimonas	39	20	23	10	2	9	50	26	21	18	2	7	6	0	5	1	5
Salarchaeum	5	9	10	2	7	12	16	4	48	5	11	20	30	0	7	54	4
Sinomonas	16	19	8	13	6	8	14	37	26	22	34	5	9	0	12	11	4
Halomicroarcula	26	28	8	17	11	9	22	12	6	27	13	5	9	0	27	11	12
Modestobacter	11	23	11	8	21	6	48	0	24	12	3	10	11	0	23	11	21
Thiocapsa	43	19	2	8	16	32	23	8	25	18	4	4	4	1	4	12	20
Niastella	6	143	5	21	9	5	0	14	7	3	0	3	11	0	6	1	8
Sneathiella	19	27	5	7	5	9	4	16	7	44	6	2	24	1	34	21	11
Verminephrobacter	5	27	2	1	4	16	3	9	137	30	0	0	5	0	3	0	0
Carboxydothermus	36	23	6	10	16	13	9	9	1	46	0	6	30	4	12	1	19
Changpingibacter	7	18	4	9	18	21	13	0	4	20	5	18	36	7	30	25	5
Roseobacter	16	27	9	12	7	23	2	6	19	34	8	13	13	6	6	19	20
Tatumella	8	14	24	0	51	10	15	21	10	20	16	3	19	3	10	11	4
Breoghania	26	26	3	2	0	10	27	38	13	24	0	15	20	1	5	0	28
Demequina	36	26	7	11	9	9	19	12	8	6	5	28	24	0	17	10	11
Alcanivorax	8	27	24	11	17	21	10	23	26	7	0	28	13	0	13	1	8
Ktedonosporobacter	20	45	8	12	2	14	14	18	23	13	2	9	13	20	8	2	14
Candidatus_Koribacter	16	10	8	2	6	10	10	10	4	112	4	2	6	0	4	0	32
Desulfomarina	33	20	10	1	2	2	7	34	12	76	0	0	15	0	2	1	21
Halobacteroides	2	18	9	0	11	2	90	19	0	0	25	9	17	5	18	5	6
Lonsdalea	15	23	28	4	6	2	4	25	13	23	3	0	2	0	0	9	79
Marmoricola	5	14	15	18	8	16	8	12	47	24	12	11	14	0	8	7	17
Nitrospirillum	40	17	2	17	8	16	16	9	21	14	6	6	15	0	4	0	45
Parashewanella	10	7	6	34	9	10	4	1	4	1	18	22	10	15	53	27	5
Brevefilum	14	15	5	8	2	25	0	3	3	3	19	26	43	0	6	58	5
Paraliobacillus	9	14	10	15	1	34	0	0	2	0	6	14	47	27	22	12	22
Pistricoccus	59	4	4	6	0	4	49	58	29	15	0	0	3	0	1	0	3
Cystobacter	15	17	4	7	1	8	5	37	26	29	47	3	8	1	5	3	18
Pyxidicoccus	22	14	4	5	5	1	36	38	13	58	9	3	5	0	4	0	17
Reinekea	0	17	2	4	11	6	8	13	0	133	4	0	7	0	8	21	0
Siminovitchia	4	20	13	9	49	64	0	1	0	1	2	16	19	13	16	6	1
Thermobispora	9	15	1	4	8	16	9	5	3	21	35	35	40	0	24	0	9
Actinopolymorpha	23	16	9	13	16	22	23	21	19	14	7	3	22	5	2	4	14
Anoxybacter	4	40	18	5	22	32	1	3	0	0	2	19	31	0	36	4	16
Glaesserella	14	15	12	11	7	13	1	2	5	5	5	22	18	6	5	9	83
Simplicispira	14	16	17	25	40	14	6	16	41	7	0	11	6	0	10	0	9
Maribellus	9	14	11	14	35	64	5	20	9	1	3	14	9	0	5	7	11
Salinicoccus	13	14	18	7	7	11	3	8	45	3	10	20	20	1	5	30	16
Tautonia	18	25	23	5	8	17	12	21	21	4	5	10	20	5	9	10	18
Bacterioplanes	2	81	15	67	23	4	1	3	13	4	1	1	3	0	3	3	6
Bergeyella	3	7	2	162	5	4	1	3	8	27	1	0	2	0	0	1	4
Chenggangzhangella	36	13	5	3	2	3	13	26	37	21	4	2	3	1	0	3	58
Przondovirus	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	2	0
Pseudocnuella	9	7	12	14	41	52	3	10	50	11	0	2	4	1	10	1	2
Solicola	24	12	10	7	41	35	9	10	16	44	0	4	10	0	4	2	0
Aliivibrio	7	22	10	13	3	13	3	17	36	18	1	13	20	25	20	4	2
Mongoliitalea	4	29	7	17	31	23	13	16	5	6	7	7	32	0	6	22	2
Sanguibacter	8	14	2	4	5	14	9	10	42	26	4	21	14	4	26	11	13
Schizosaccharomyces	1	5	10	14	30	24	0	0	1	0	1	18	23	19	69	7	5
Desulfurispirillum	13	29	11	19	7	11	9	8	31	45	0	6	8	0	7	12	10
Fervidibacillus	20	45	6	40	34	6	8	13	0	3	8	5	16	6	12	2	2
Pannonibacter	33	18	3	4	17	10	34	32	13	33	0	0	8	0	11	0	9
Polymorphospora	31	12	6	2	0	2	5	22	56	10	2	0	1	0	6	8	62
Sulfuritalea	19	26	4	9	24	12	21	22	7	64	6	0	5	0	1	0	5
Aquabacter	43	14	3	4	2	10	18	45	14	8	1	0	6	0	9	8	39
Candidatus_Phaeomarinobacter	0	70	16	6	4	36	12	10	30	24	4	0	2	0	0	6	4
Desulfofarcimen	10	46	10	25	14	53	5	8	9	10	0	1	16	0	1	3	13
Geodermatophilus	23	15	7	2	15	3	12	82	15	19	2	10	6	0	2	8	3
Salinarchaeum	7	6	5	2	6	10	1	4	3	8	4	12	35	60	38	3	20
Tolumonas	4	7	2	10	31	14	0	5	6	16	1	40	31	27	0	17	13
Brussowvirus	0	0	15	0	1	0	0	0	0	0	1	195	3	0	0	8	0
Apibacter	5	15	36	43	22	12	1	0	2	0	10	6	17	3	10	10	30
Eleftheria	7	8	16	7	5	7	4	8	11	14	6	26	27	0	9	59	8
Labrenzia	13	12	3	12	10	19	4	7	20	18	5	2	12	19	27	2	37
Candidatus_Bandiella	0	6	2	0	0	2	154	30	2	6	0	4	2	2	0	2	8
Croceibacter	2	0	57	54	27	65	0	0	0	0	4	1	2	0	8	0	0
Marinithermus	31	8	4	0	19	5	11	12	68	38	0	1	4	2	4	9	4
Oceanithermus	15	12	5	3	3	14	6	15	54	44	0	4	6	0	0	16	23
Parazoarcus	30	16	9	7	21	14	0	9	12	30	12	0	5	1	10	16	28
Pontivivens	12	15	5	33	40	2	11	2	9	37	3	24	11	1	4	7	4
Rodentibacter	11	9	19	11	22	40	3	15	2	0	4	31	10	14	12	12	5
Tropheryma	25	4	2	6	49	10	0	20	0	13	0	16	2	0	47	24	2
Arenibacter	13	9	14	12	57	45	1	1	30	10	14	0	6	0	2	2	3
Larkinella	17	20	1	12	40	7	5	24	7	67	0	2	7	1	2	2	5
Nissabacter	11	4	6	1	1	6	5	19	51	44	1	0	7	0	15	6	42
Tetrapisispora	28	5	13	2	24	7	1	15	2	1	13	22	31	3	23	25	4
Amphibacillus	2	33	28	8	15	16	9	3	1	1	1	13	41	5	30	5	7
Blastococcus	12	20	2	2	9	10	36	8	13	33	19	19	9	0	15	5	6
Halovivax	18	14	13	9	13	5	8	4	28	27	3	3	1	0	45	19	8
Indioceanicola	40	6	8	3	8	6	16	8	33	53	0	11	4	0	13	2	7
Methyloligella	68	31	2	7	2	6	34	7	10	25	0	1	2	0	2	0	21
Dokdonella	20	31	10	12	4	11	18	30	9	57	0	1	10	0	1	1	1
Mergibacter	14	15	5	1	1	5	104	38	12	7	1	4	0	0	3	1	5
Epilithonimonas	23	14	23	55	32	22	0	5	4	0	3	4	13	0	6	2	9
Methylibium	4	0	3	0	3	7	9	5	9	105	2	0	4	0	1	0	63
Neospora	11	11	10	5	5	6	1	5	7	8	24	10	6	17	2	75	12
Talaromyces	9	7	27	11	14	30	3	2	10	7	4	20	40	3	20	1	7
Leptodesmis	21	13	8	0	31	1	2	12	10	0	0	0	83	0	11	2	20
Natronoglycomyces	2	41	6	12	25	9	9	8	11	6	6	7	17	3	24	10	18
Stackebrandtia	14	17	5	7	3	10	16	55	21	46	2	7	4	0	0	2	5
Desulfobacter	20	44	9	7	4	3	5	22	2	55	0	0	7	0	6	9	20
