KO	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
K13920	57.2469	0.0	0.0	0.0	119.55799999999999	0.0	0.0	0.0	0.0	0.0	16.9087	50.4024
K13922	24.5727	0.0	0.0	0.0	779.702	0.0	0.0	0.0	0.0	0.0	14.5217	43.4057
K13924	500.22200000000004	0.0	93.98429999999999	102.2218	404.4379	2019.8344	119.7205	0.0	0.0	99.27210000000001	0.0	204.912
K13925	0.0	0.0	0.0	0.0	238.653	0.0	309.481	0.0	0.0	0.0	0.0	434.38599999999997
K13927	737.737	0.0	37.06230000000001	0.0	348.8085	0.0	226.4439	0.0	0.0	0.0	0.0	101.587
K13930	483.453	0.0	37.06230000000001	0.0	110.1555	0.0	71.7029	0.0	0.0	0.0	0.0	101.587
K13940	424.81899999999996	0.0	81.035	616.6519999999999	1267.047	215.612	33.5501	0.0	248.7305	42.275000000000006	102.0703	217.39700000000002
K13941	0.0	0.0	0.0	0.0	285.425	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13950	351.31239999999997	52.19370000000001	36.267160000000004	556.8885599999999	350.591	305.9229	55.204800000000006	79.9807	1403.0083	640.9369	1062.6263000000001	156.9441
K13953	0.0	0.0	31.622	168.5714	0.0	0.0	23.6275	0.0	197.85989999999998	16.9411	65.14	0.0
K13954	0.0	21.5131	0.0	13.3111	0.0	0.0	0.0	0.0	0.0	120.624	0.0	0.0
K13963	0.0	0.0	19.1784	0.0	0.0	1455.268	209.90910000000002	0.0	0.0	0.0	0.0	0.0
K13967	0.0	0.0	0.0	41.981	0.0	0.0	0.0	0.0	0.0	34.8941	663.322	234.43099999999998
K13990	138.6565	0.0	75.6648	101.7439	66.6517	17.1826	29.7835	0.0	13.9392	68.7071	0.0	128.995
K14048	0.0	0.0	0.0	93.8431	0.0	0.0	0.0	0.0	0.0	535.9936	0.0	274.611
K14055	0.0	0.0	0.0	60.9119	0.0	0.0	0.0	0.0	0.0	25.1523	210.918	0.0
K14056	148.265	0.0	0.0	0.0	92.8775	0.0	0.0	17.5795	19.4268	0.0	0.0	52.173
K14058	181.97	43.4318	14.5172	276.77009999999996	406.9185	73.27220000000001	92.8977	26.070999999999998	55.711800000000004	441.5519	313.01079999999996	127.352
K14080	0.0	37.4152	0.0	104.529	0.0	0.0	0.0	141.0472	60.1143	87.38390000000001	104.8951	0.0
K14153	983.9866	0.0	18.3887	121.471	341.935	316.5661	15.8902	0.0	29.7927	56.3287	67.1226	0.0
K14155	152.314	0.0	42.8759	227.0199	437.35900000000004	562.373	13.3786	16.2219	169.72400000000002	164.38830000000002	157.291	33.7832
K14159	0.0	0.0	0.0	119.006	0.0	0.0	44.4345	0.0	393.2993	185.2425	272.606	257.154
