Genus	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
g__Flavonifractor	0.09685	0.00822	0.08735	0.17605	0	0.05314	0.0463	0	0.0012	0.06365	0.00212	0	0	0	0	0	0	0.10506
g__GGB9412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62298	0	0
g__GGB79973	0	0	0.0732	0.11466	0	0	0	0	0	0	0.04179	0	0	0	0	0.38382	0	0
g__Rothia	0	0	0	0.00471	0.05354	0.00141	0	0	0	0	0.00191	0.0071	0.34011	0.01177	0.00375	0.10334	0	0.00684
g__GGB6554	0.52506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Haemophilus	0	0	0	0.00455	0.01541	0.10552	0.06404	0	0	0	0	0	0.30213	0	0	0.02003	0	0
g__GGB9531	0	0	0	0	0	0	0	0.2913	0.15084	0.05784	0	0	0	0	0	0	0	0
g__Gemella	0	0	0.04203	0	0.00153	0.02148	0.01263	0	0	0	0	0.07823	0.18312	0.12072	0.03513	0	0.00144	0
g__Coprobacillus	0	0.0727	0.20132	0.03287	0	0	0	0	0	0	0.00204	0.1497	0	0	0.01977	0	0	0
g__Mogibacterium	0.00048	0.03576	0.01813	0	0	0.00482	0	0.00156	0.01264	0.00179	0.17654	0.03656	0.00036	0.01412	0.00736	0.14697	0	0.00973
g__GGB30134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4524	0	0
g__GGB9616	0	0	0.09443	0.08542	0.2386	0	0.02682	0	0	0	0	0	0	0	0	0	0	0
g__GGB80055	0	0.00276	0	0.43386	0	0.0041	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB51441	0	0	0.03098	0.08875	0.15865	0	0.036	0	0	0	0	0	0.03595	0.08016	0	0	0	0
g__Edwardsiella	0.42532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9701	0	0	0	0	0	0	0	0	0	0	0.38706	0	0	0	0	0	0	0
g__GGB2982	0	0	0	0	0	0	0.19251	0	0	0	0.1209	0	0	0.00465	0	0	0	0.06393
g__GGB4644	0	0	0.03098	0	0	0	0	0	0	0	0	0	0	0.34869	0	0	0	0
g__Hydrogenoanaerobacterium	0	0.03112	0.09867	0.03515	0.04274	0	0.01604	0.00555	0.02361	0.02784	0.00325	0	0	0	0	0.00272	0	0.09056
g__GGB34797	0	0	0	0	0.04685	0.2605	0	0.03952	0	0	0.02564	0	0	0	0	0	0	0
g__GGB3828	0	0	0	0.02943	0.33909	0	0	0	0	0	0	0	0	0	0	0	0	0
